"osm:node:2506116240","39","34"
"osm:node:2506127773","53","25"
"osm:node:2506127776","39","33"
"osm:node:2506660247","11","8"
"osm:node:2507085781","44","13"
"osm:node:2507144203","6","75"
"osm:node:2507148634","1","73"
"osm:node:2507148636","11","72"
"osm:node:2507159712","10","47"
"osm:node:2507166317","29","53"
"osm:node:2509420635","6","8"
"osm:node:2509600417","15","55"
"osm:node:2510453156","57","13"
"osm:node:251127910","8","11"
"osm:node:251147180","10","5"
"osm:node:251149367","13","56"
"osm:node:251150452","44","29"
"osm:node:251150454","5","13"
"osm:node:251168505","5","4"
"osm:node:251168507","7","9"
"osm:node:251187545","43","37"
"osm:node:251823631","53","8"
"osm:node:2524874437","6","7"
"osm:node:2545458109","11","64"
"osm:node:2556497278","8","3"
"osm:node:2564649692","3","78"
"osm:node:2626208655","12","2"
"osm:node:2626432820","12","63"
"osm:node:2626494421","13","2"
"osm:node:2641495004","58","8"
"osm:node:2647227084","24","53"
"osm:node:2708542899","4","11"
"osm:node:2720873388","15","56"
"osm:node:2720877649","9","10"
"osm:node:2720879024","12","63"
"osm:node:2720887523","34","36"
"osm:node:2720974171","33","38"
"osm:node:2721294926","13","47"
"osm:node:2721300000","4","12"
"osm:node:2721518885","42","26"
"osm:node:2721521339","2","6"
"osm:node:2721521381","6","10"
"osm:node:2721521725","28","49"
"osm:node:2721521780","4","8"
"osm:node:2721521925","8","7"
"osm:node:2721521944","18","65"
"osm:node:2721522052","11","61"
"osm:node:2721522154","27","43"
"osm:node:2721522214","17","47"
"osm:node:2721522226","14","48"
"osm:node:2721522278","6","8"
"osm:node:2721522307","3","10"
"osm:node:2721523437","19","53"
"osm:node:2721575503","54","19"
"osm:node:2721575611","36","32"
"osm:node:2721577778","4","76"
"osm:node:2721722732","15","55"
"osm:node:2721723074","0","8"
"osm:node:2721723185","44","30"
"osm:node:2721771427","4","5"
"osm:node:2721771496","7","14"
"osm:node:2721772858","6","11"
"osm:node:2721772996","4","14"
"osm:node:2721773035","8","14"
"osm:node:2721832085","33","48"
"osm:node:2721937963","17","5"
"osm:node:2721937969","27","56"
"osm:node:2721938084","12","4"
"osm:node:2721938265","61","18"
"osm:node:2721938610","41","31"
"osm:node:2721938631","6","9"
"osm:node:2721938752","69","9"
"osm:node:2721938758","10","4"
"osm:node:2721938792","38","25"
"osm:node:2721938942","48","19"
"osm:node:2721939669","47","22"
"osm:node:2721940075","10","7"
"osm:node:2721941935","41","29"
"osm:node:2721945062","48","10"
"osm:node:2721945914","3","7"
"osm:node:2721946621","2","11"
"osm:node:2721946670","48","30"
"osm:node:2721947589","9","4"
"osm:node:2721947651","56","18"
"osm:node:2721947721","62","3"
"osm:node:2721947763","57","10"
"osm:node:2722022989","53","25"
"osm:node:2722024412","8","4"
"osm:node:2722191398","9","7"
"osm:node:2722191424","42","29"
"osm:node:2722192587","11","6"
"osm:node:2722209019","8","51"
"osm:node:2722209304","10","67"
"osm:node:2722211669","7","60"
"osm:node:2722212002","16","50"
"osm:node:2722212490","2","72"
"osm:node:2724000369","17","46"
"osm:node:2724000379","12","3"
"osm:node:2724000380","5","11"
"osm:node:2724000420","17","63"
"osm:node:2724000430","3","11"
"osm:node:2724000443","7","9"
"osm:node:2724000450","10","3"
"osm:node:2724000453","2","6"
"osm:node:2724000479","3","12"
"osm:node:2724000662","8","76"
"osm:node:2724000728","9","3"
"osm:node:2724000731","35","58"
"osm:node:2724001150","9","46"
"osm:node:2724001511","15","8"
"osm:node:2724038525","59","15"
"osm:node:2724038527","10","70"
"osm:node:2724038580","32","36"
"osm:node:2724038606","1","6"
"osm:node:2724038611","7","6"
"osm:node:2724038639","7","6"
"osm:node:2724038644","49","40"
"osm:node:2724038682","13","3"
"osm:node:2724038732","8","6"
"osm:node:2724038745","4","14"
"osm:node:2724038779","9","6"
"osm:node:2724038785","9","76"
"osm:node:2724038809","11","42"
"osm:node:2724038814","13","43"
"osm:node:2724038815","51","7"
"osm:node:2724038856","65","18"
"osm:node:2724039101","10","6"
"osm:node:2724185097","42","30"
"osm:node:2724249322","8","71"
"osm:node:2724249544","31","36"
"osm:node:2724249675","41","45"
"osm:node:2724250177","21","58"
"osm:node:2724283747","27","40"
"osm:node:2724283874","23","63"
"osm:node:2724284613","3","6"
"osm:node:2724285007","34","40"
"osm:node:2724317306","32","40"
"osm:node:2724334677","10","66"
"osm:node:2725660988","2","11"
"osm:node:2725661547","8","10"
"osm:node:2725661561","6","65"
"osm:node:2725662640","0","8"
"osm:node:2725662864","8","9"
"osm:node:2725662882","50","34"
"osm:node:2725663415","10","49"
"osm:node:2725748426","17","64"
"osm:node:2725793336","40","19"
"osm:node:2725877854","5","8"
"osm:node:2725878090","23","37"
"osm:node:2725878862","38","36"
"osm:node:2725878867","8","8"
"osm:node:2725879096","3","6"
"osm:node:2725879270","4","71"
"osm:node:2725914234","10","6"
"osm:node:2725914340","65","5"
"osm:node:2729938497","30","37"
"osm:node:2729938524","30","44"
"osm:node:2729938655","4","3"
"osm:node:2729938814","10","6"
"osm:node:2729939054","7","4"
"osm:node:2729939222","22","55"
"osm:node:2729939496","35","31"
"osm:node:2729941686","9","4"
"osm:node:2729942285","13","1"
"osm:node:2729943257","27","27"
"osm:node:2729943438","48","26"
"osm:node:2729943780","5","7"
"osm:node:2730033279","4","3"
"osm:node:2730033505","13","51"
"osm:node:2730034541","15","3"
"osm:node:2730037315","67","7"
"osm:node:2730037359","54","18"
"osm:node:2736624940","11","67"
"osm:node:2736625494","30","48"
"osm:node:2736734787","3","11"
"osm:node:2737805069","8","3"
"osm:node:2737805688","27","47"
"osm:node:2737806525","39","38"
"osm:node:2737807937","54","10"
"osm:node:2737809150","6","67"
"osm:node:2737853882","7","6"
"osm:node:2737854574","66","3"
"osm:node:2737854842","19","58"
"osm:node:2737854894","15","49"
"osm:node:2737856957","21","47"
"osm:node:2737858464","7","8"
"osm:node:2737865199","13","55"
"osm:node:2737944317","6","65"
"osm:node:2737949735","3","5"
"osm:node:2737959027","2","9"
"osm:node:2741065352","12","4"
"osm:node:2741066908","16","3"
"osm:node:2742803490","3","7"
"osm:node:2742805862","7","6"
"osm:node:2743276497","2","10"
"osm:node:2743477427","1","12"
"osm:node:2743482771","19","67"
"osm:node:2743539966","6","8"
"osm:node:2743544698","47","23"
"osm:node:2743728505","52","17"
"osm:node:2744757883","7","60"
"osm:node:276769055","11","67"
"osm:node:2772298378","10","57"
"osm:node:2782391945","37","37"
