OBJECTNUMMER;SELECTIE;LABEL;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;5271;"5271-6024";"POLYGON((5.0321451 52.3148481,5.0326777 52.3147676,5.0327306 52.3148499,5.0326949 52.3151858,5.0326267 52.3152786,5.0321451 52.3148481))";"POLYGON((52.3148481 5.0321451,52.3147676 5.0326777,52.3148499 5.0327306,52.3151858 5.0326949,52.3152786 5.0326267,52.3148481 5.0321451))";5.03243785;52.3150231;
2;9035;"9035-11294";"POLYGON((4.906459 52.3842957,4.9064122 52.383565,4.9064623 52.3835101,4.9064659 52.38361,4.9065464 52.3837838,4.9066343 52.3840601,4.9065412 52.384273,4.906459 52.3842957))";"POLYGON((52.3842957 4.906459,52.383565 4.9064122,52.3835101 4.9064623,52.38361 4.9064659,52.3837838 4.9065464,52.3840601 4.9066343,52.384273 4.9065412,52.3842957 4.906459))";4.90652325;52.3839029;
3;7529;"7529-9035";"POLYGON((4.9628022 52.3739792,4.9627004 52.3728791,4.9627323 52.3724095,4.9630458 52.3723272,4.9636934 52.3730429,4.9639715 52.3734933,4.963926 52.3735995,4.9634349 52.3739407,4.9631879 52.3739946,4.9628022 52.3739792))";"POLYGON((52.3739792 4.9628022,52.3728791 4.9627004,52.3724095 4.9627323,52.3723272 4.9630458,52.3730429 4.9636934,52.3734933 4.9639715,52.3735995 4.963926,52.3739407 4.9634349,52.3739946 4.9631879,52.3739792 4.9628022))";4.96333595;52.3731609;
4;6024;"6024-6776";"POLYGON((4.9487171 52.3175468,4.948663 52.3172651,4.9489473 52.3168168,4.9489743 52.3168002,4.9499489 52.3171274,4.9500508 52.3172703,4.9500507 52.3174155,4.949874 52.3176233,4.9489628 52.3172793,4.9487171 52.3175468))";"POLYGON((52.3175468 4.9487171,52.3172651 4.948663,52.3168168 4.9489473,52.3168002 4.9489743,52.3171274 4.9499489,52.3172703 4.9500508,52.3174155 4.9500507,52.3176233 4.949874,52.3172793 4.9489628,52.3175468 4.9487171))";4.9493569;52.31721175;
5;3765;"3765-4518";"POLYGON((4.7685765 52.3768036,4.7680952 52.3770298,4.7676958 52.3772794,4.7673922 52.3765135,4.7678727 52.3762411,4.7685784 52.3766804,4.7685765 52.3768036))";"POLYGON((52.3768036 4.7685765,52.3770298 4.7680952,52.3772794 4.7676958,52.3765135 4.7673922,52.3762411 4.7678727,52.3766804 4.7685784,52.3768036 4.7685765))";4.7679853;52.37676025;
6;3765;"3765-4518";"POLYGON((4.7936733 52.3499753,4.7925508 52.3493905,4.7918206 52.3489375,4.7913034 52.3484855,4.7912497 52.3480358,4.7916079 52.3475882,4.7922748 52.3471421,4.7924723 52.3470174,4.7932099 52.346731,4.7939446 52.3466631,4.7946785 52.346658,4.7953545 52.3467378,4.7936733 52.3499753))";"POLYGON((52.3499753 4.7936733,52.3493905 4.7925508,52.3489375 4.7918206,52.3484855 4.7913034,52.3480358 4.7912497,52.3475882 4.7916079,52.3471421 4.7922748,52.3470174 4.7924723,52.346731 4.7932099,52.3466631 4.7939446,52.346658 4.7946785,52.3467378 4.7953545,52.3499753 4.7936733))";4.7933021;52.34831665;
7;3765;"3765-4518";"POLYGON((4.794513 52.3503177,4.7947008 52.3499558,4.7949733 52.3495826,4.7974364 52.3483308,4.7977204 52.348488,4.7976569 52.3489666,4.7975289 52.3494153,4.797175 52.349863,4.7968339 52.3501181,4.7960968 52.3503603,4.7953619 52.3504359,4.794629 52.3503615,4.794513 52.3503177))";"POLYGON((52.3503177 4.794513,52.3499558 4.7947008,52.3495826 4.7949733,52.3483308 4.7974364,52.348488 4.7977204,52.3489666 4.7976569,52.3494153 4.7975289,52.349863 4.797175,52.3501181 4.7968339,52.3503603 4.7960968,52.3504359 4.7953619,52.3503615 4.794629,52.3503177 4.794513))";4.7961167;52.34938335;
8;3765;"3765-4518";"POLYGON((4.7969255 52.3482368,4.7949906 52.3492996,4.794585 52.3490036,4.7951356 52.3479598,4.7960168 52.3475491,4.7969255 52.3482368))";"POLYGON((52.3482368 4.7969255,52.3492996 4.7949906,52.3490036 4.794585,52.3479598 4.7951356,52.3475491 4.7960168,52.3482368 4.7969255))";4.79575525;52.34842435;
9;3765;"3765-4518";"POLYGON((4.7879459 52.3561928,4.7872074 52.3565339,4.7864732 52.3565366,4.7857417 52.3563637,4.7848766 52.3560926,4.784281 52.3558302,4.7839866 52.3556386,4.7840185 52.3551894,4.7842925 52.3549857,4.7846656 52.3547433,4.7850319 52.3545848,4.785768 52.354417,4.7865012 52.3544677,4.7873791 52.3547571,4.7880653 52.3552099,4.788226 52.3556601,4.7880384 52.3561086,4.7879459 52.3561928))";"POLYGON((52.3561928 4.7879459,52.3565339 4.7872074,52.3565366 4.7864732,52.3563637 4.7857417,52.3560926 4.7848766,52.3558302 4.784281,52.3556386 4.7839866,52.3551894 4.7840185,52.3549857 4.7842925,52.3547433 4.7846656,52.3545848 4.7850319,52.354417 4.785768,52.3544677 4.7865012,52.3547571 4.7873791,52.3552099 4.7880653,52.3556601 4.788226,52.3561086 4.7880384,52.3561928 4.7879459))";4.7861063;52.3554768;
10;4518;"4518-5271";"POLYGON((4.8325523 52.3693736,4.8318169 52.3694697,4.8316406 52.3693527,4.8318213 52.3691108,4.8325527 52.3693312,4.8325523 52.3693736))";"POLYGON((52.3693736 4.8325523,52.3694697 4.8318169,52.3693527 4.8316406,52.3691108 4.8318213,52.3693312 4.8325527,52.3693736 4.8325523))";4.83209665;52.36929025;
11;6024;"6024-6776";"POLYGON((4.8690725 52.3309359,4.8690622 52.3292877,4.872736 52.3292815,4.8728686 52.3295434,4.8727139 52.3299921,4.8723028 52.3304398,4.8719108 52.3307226,4.871494 52.3308856,4.8711743 52.3309659,4.8704398 52.3310497,4.8697064 52.3310402,4.8690725 52.3309359))";"POLYGON((52.3309359 4.8690725,52.3292877 4.8690622,52.3292815 4.872736,52.3295434 4.8728686,52.3299921 4.8727139,52.3304398 4.8723028,52.3307226 4.8719108,52.3308856 4.871494,52.3309659 4.8711743,52.3310497 4.8704398,52.3310402 4.8697064,52.3309359 4.8690725))";4.8709654;52.3301656;
12;6024;"6024-6776";"POLYGON((4.8685732 52.3307336,4.868245 52.3305593,4.8680645 52.3304213,4.8678226 52.3299708,4.8677762 52.3295212,4.8680175 52.3290729,4.8682639 52.3289367,4.8686415 52.3288315,4.8685732 52.3307336))";"POLYGON((52.3307336 4.8685732,52.3305593 4.868245,52.3304213 4.8680645,52.3299708 4.8678226,52.3295212 4.8677762,52.3290729 4.8680175,52.3289367 4.8682639,52.3288315 4.8686415,52.3307336 4.8685732))";4.86820885;52.32978255;
13;6776;"6776-7529";"POLYGON((4.8773857 52.3230099,4.883348 52.3231189,4.8844612 52.3235789,4.885194 52.3236334,4.8859286 52.3235386,4.8866296 52.3233109,4.8867761 52.3231815,4.8897688 52.3232359,4.8895328 52.3233231,4.8888625 52.323499,4.8883103 52.3237674,4.8881253 52.3238415,4.8876588 52.3242141,4.8873859 52.3243734,4.8866499 52.3245993,4.8860656 52.3246567,4.8859158 52.3246699,4.8851822 52.3246802,4.88445 52.3245782,4.8829902 52.3239645,4.8822597 52.3237017,4.8815284 52.3235118,4.8807961 52.3234131,4.880063 52.3233832,4.8793295 52.3234024,4.8785953 52.3234768,4.877862 52.3234573,4.8775447 52.3232722,4.8773857 52.3230099))";"POLYGON((52.3230099 4.8773857,52.3231189 4.883348,52.3235789 4.8844612,52.3236334 4.885194,52.3235386 4.8859286,52.3233109 4.8866296,52.3231815 4.8867761,52.3232359 4.8897688,52.3233231 4.8895328,52.323499 4.8888625,52.3237674 4.8883103,52.3238415 4.8881253,52.3242141 4.8876588,52.3243734 4.8873859,52.3245993 4.8866499,52.3246567 4.8860656,52.3246699 4.8859158,52.3246802 4.8851822,52.3245782 4.88445,52.3239645 4.8829902,52.3237017 4.8822597,52.3235118 4.8815284,52.3234131 4.8807961,52.3233832 4.880063,52.3234024 4.8793295,52.3234768 4.8785953,52.3234573 4.877862,52.3232722 4.8775447,52.3230099 4.8773857))";4.88357725;52.32384505;
14;6776;"6776-7529";"POLYGON((4.8901647 52.3230817,4.8897664 52.3230667,4.8898073 52.3223935,4.8902983 52.322401,4.8903412 52.3224278,4.8910691 52.3224308,4.8906106 52.3228783,4.8901647 52.3230817))";"POLYGON((52.3230817 4.8901647,52.3230667 4.8897664,52.3223935 4.8898073,52.322401 4.8902983,52.3224278 4.8903412,52.3224308 4.8910691,52.3228783 4.8906106,52.3230817 4.8901647))";4.89041775;52.3227376;
15;5271;"5271-6024";"POLYGON((4.9809425 52.3277159,4.9804971 52.3278804,4.9799816 52.3277125,4.9797659 52.3276178,4.9794318 52.3272613,4.9792551 52.3268113,4.9794787 52.3263627,4.9797789 52.3262001,4.980514 52.3260218,4.9812473 52.3260403,4.9817215 52.3263704,4.9817749 52.32682,4.9815339 52.3272685,4.9812333 52.3275664,4.9809425 52.3277159))";"POLYGON((52.3277159 4.9809425,52.3278804 4.9804971,52.3277125 4.9799816,52.3276178 4.9797659,52.3272613 4.9794318,52.3268113 4.9792551,52.3263627 4.9794787,52.3262001 4.9797789,52.3260218 4.980514,52.3260403 4.9812473,52.3263704 4.9817215,52.32682 4.9817749,52.3272685 4.9815339,52.3275664 4.9812333,52.3277159 4.9809425))";4.980515;52.3269511;
16;3765;"3765-4518";"POLYGON((4.8039681 52.3656912,4.8037775 52.3656241,4.8032917 52.3651723,4.8033791 52.3647233,4.803987 52.3642613,4.8047222 52.3641705,4.804919 52.3642815,4.8052483 52.3647325,4.8050556 52.365181,4.8047056 52.3654378,4.8040739 52.3656255,4.8039681 52.3656912))";"POLYGON((52.3656912 4.8039681,52.3656241 4.8037775,52.3651723 4.8032917,52.3647233 4.8033791,52.3642613 4.803987,52.3641705 4.8047222,52.3642815 4.804919,52.3647325 4.8052483,52.365181 4.8050556,52.3654378 4.8047056,52.3656255 4.8040739,52.3656912 4.8039681))";4.80427;52.36493085;
17;5271;"5271-6024";"POLYGON((4.8443913 52.3617978,4.8436572 52.3618003,4.8435502 52.3617683,4.8429289 52.3613425,4.8429214 52.3608667,4.8430305 52.3606114,4.8447099 52.3606354,4.8448685 52.3608757,4.84482 52.3613248,4.8443913 52.3617978))";"POLYGON((52.3617978 4.8443913,52.3618003 4.8436572,52.3617683 4.8435502,52.3613425 4.8429289,52.3608667 4.8429214,52.3606114 4.8430305,52.3606354 4.8447099,52.3608757 4.8448685,52.3613248 4.84482,52.3617978 4.8443913))";4.84389495;52.36120585;
18;7529;"7529-9035";"POLYGON((4.9427814 52.3424734,4.9385945 52.3400356,4.9407867 52.3386759,4.9433157 52.3382372,4.9433456 52.3383664,4.9435714 52.3388165,4.9437126 52.3390189,4.9442814 52.3397179,4.9444364 52.340016,4.9445479 52.3401683,4.9444486 52.3406173,4.9440889 52.3410653,4.9435943 52.3415128,4.943172 52.3419606,4.9429462 52.3422978,4.9427814 52.3424734))";"POLYGON((52.3424734 4.9427814,52.3400356 4.9385945,52.3386759 4.9407867,52.3382372 4.9433157,52.3383664 4.9433456,52.3388165 4.9435714,52.3390189 4.9437126,52.3397179 4.9442814,52.340016 4.9444364,52.3401683 4.9445479,52.3406173 4.9444486,52.3410653 4.9440889,52.3415128 4.9435943,52.3419606 4.943172,52.3422978 4.9429462,52.3424734 4.9427814))";4.9415712;52.3403553;
19;5271;"5271-6024";"POLYGON((4.8073747 52.3795915,4.8067215 52.3797177,4.8059867 52.3797529,4.8052534 52.3796759,4.8049632 52.3795607,4.8045777 52.3791094,4.8045258 52.3786598,4.8047444 52.3782115,4.8052407 52.3777645,4.8052787 52.3777356,4.8060172 52.3774204,4.8065586 52.3774088,4.8065174 52.3781292,4.8077035 52.3779934,4.8078698 52.378186,4.8078582 52.3788136,4.8074188 52.3788421,4.8073747 52.3795915))";"POLYGON((52.3795915 4.8073747,52.3797177 4.8067215,52.3797529 4.8059867,52.3796759 4.8052534,52.3795607 4.8049632,52.3791094 4.8045777,52.3786598 4.8045258,52.3782115 4.8047444,52.3777645 4.8052407,52.3777356 4.8052787,52.3774204 4.8060172,52.3774088 4.8065586,52.3781292 4.8065174,52.3779934 4.8077035,52.378186 4.8078698,52.3788136 4.8078582,52.3788421 4.8074188,52.3795915 4.8073747))";4.8061978;52.37858085;
20;11294;"> 11294";"POLYGON((4.9560188 52.3860608,4.9565846 52.3860222,4.957953 52.3856957,4.9595805 52.3851086,4.9597701 52.3855062,4.9593298 52.3856278,4.9584807 52.3860423,4.9577956 52.3862918,4.9570534 52.3864367,4.9564609 52.3862621,4.9560188 52.3860608))";"POLYGON((52.3860608 4.9560188,52.3860222 4.9565846,52.3856957 4.957953,52.3851086 4.9595805,52.3855062 4.9597701,52.3856278 4.9593298,52.3860423 4.9584807,52.3862918 4.9577956,52.3864367 4.9570534,52.3862621 4.9564609,52.3860608 4.9560188))";4.95789445;52.38577265;
21;11294;"> 11294";"POLYGON((4.9612283 52.3825498,4.9608681 52.3822653,4.9613582 52.3819953,4.9616786 52.3822583,4.9613721 52.3824715,4.9612283 52.3825498))";"POLYGON((52.3825498 4.9612283,52.3822653 4.9608681,52.3819953 4.9613582,52.3822583 4.9616786,52.3824715 4.9613721,52.3825498 4.9612283))";4.96127335;52.38227255;
22;5271;"5271-6024";"POLYGON((4.9845066 52.3250318,4.9845241 52.3245824,4.9847376 52.3241337,4.9849327 52.3240115,4.9853055 52.3238677,4.9866935 52.3244833,4.9852454 52.3256974,4.9849188 52.3255677,4.9847532 52.325482,4.9845066 52.3250318))";"POLYGON((52.3250318 4.9845066,52.3245824 4.9845241,52.3241337 4.9847376,52.3240115 4.9849327,52.3238677 4.9853055,52.3244833 4.9866935,52.3256974 4.9852454,52.3255677 4.9849188,52.325482 4.9847532,52.3250318 4.9845066))";4.98560005;52.32478255;
23;11294;"> 11294";"POLYGON((4.9251908 52.397853,4.9249987 52.3979783,4.9234275 52.3984512,4.9227461 52.3987095,4.9226679 52.3986932,4.9222719 52.3991228,4.921785 52.3990836,4.9214208 52.3989597,4.9211792 52.3987619,4.9211804 52.3986448,4.9213892 52.3986563,4.9217913 52.3984821,4.9223007 52.3980263,4.9228415 52.3970704,4.922861 52.3968788,4.9230278 52.3967304,4.9230515 52.3961289,4.9230389 52.3956765,4.9229709 52.3955166,4.9233636 52.3954009,4.9240526 52.39526,4.925186 52.3967122,4.9254701 52.3970465,4.9251908 52.397853))";"POLYGON((52.397853 4.9251908,52.3979783 4.9249987,52.3984512 4.9234275,52.3987095 4.9227461,52.3986932 4.9226679,52.3991228 4.9222719,52.3990836 4.921785,52.3989597 4.9214208,52.3987619 4.9211792,52.3986448 4.9211804,52.3986563 4.9213892,52.3984821 4.9217913,52.3980263 4.9223007,52.3970704 4.9228415,52.3968788 4.922861,52.3967304 4.9230278,52.3961289 4.9230515,52.3956765 4.9230389,52.3955166 4.9229709,52.3954009 4.9233636,52.39526 4.9240526,52.3967122 4.925186,52.3970465 4.9254701,52.397853 4.9251908))";4.92332465;52.3971914;
24;6776;"6776-7529";"POLYGON((4.995343 52.3911266,4.9953392 52.391547,4.9946072 52.3912692,4.9939398 52.3911219,4.995343 52.3911266))";"POLYGON((52.3911266 4.995343,52.391547 4.9953392,52.3912692 4.9946072,52.3911219 4.9939398,52.3911266 4.995343))";4.9946414;52.39133445;
25;9035;"9035-11294";"POLYGON((4.8910501 52.4104851,4.8910708 52.4105094,4.8911376 52.4109591,4.8910242 52.411408,4.8908108 52.4118349,4.8900749 52.4119422,4.8899658 52.4118529,4.889471 52.4112459,4.8910501 52.4104851))";"POLYGON((52.4104851 4.8910501,52.4105094 4.8910708,52.4109591 4.8911376,52.411408 4.8910242,52.4118349 4.8908108,52.4119422 4.8900749,52.4118529 4.8899658,52.4112459 4.889471,52.4104851 4.8910501))";4.8903043;52.41121365;
26;9035;"9035-11294";"POLYGON((4.8891898 52.4105016,4.8893616 52.4100152,4.8900981 52.4098647,4.8908289 52.4102269,4.8909195 52.4103327,4.8893326 52.4110676,4.8892864 52.4109513,4.8891898 52.4105016))";"POLYGON((52.4105016 4.8891898,52.4100152 4.8893616,52.4098647 4.8900981,52.4102269 4.8908289,52.4103327 4.8909195,52.4110676 4.8893326,52.4109513 4.8892864,52.4105016 4.8891898))";4.89005465;52.41046615;
27;7529;"7529-9035";"POLYGON((4.8942098 52.4029771,4.8924448 52.4038138,4.8904995 52.4021634,4.8916532 52.4022069,4.8931215 52.4022959,4.8933873 52.4022797,4.8942098 52.4029771))";"POLYGON((52.4029771 4.8942098,52.4038138 4.8924448,52.4021634 4.8904995,52.4022069 4.8916532,52.4022959 4.8931215,52.4022797 4.8933873,52.4029771 4.8942098))";4.89235465;52.4029886;
28;6776;"6776-7529";"POLYGON((4.8270901 52.3843431,4.8273433 52.3841622,4.8279649 52.383878,4.8287019 52.3836594,4.8294378 52.3835522,4.8301714 52.3836176,4.8306031 52.3837281,4.830903 52.3838306,4.8316191 52.3841822,4.8318937 52.3844053,4.8270901 52.3843431))";"POLYGON((52.3843431 4.8270901,52.3841622 4.8273433,52.383878 4.8279649,52.3836594 4.8287019,52.3835522 4.8294378,52.3836176 4.8301714,52.3837281 4.8306031,52.3838306 4.830903,52.3841822 4.8316191,52.3844053 4.8318937,52.3843431 4.8270901))";4.8294919;52.38397875;
29;6776;"6776-7529";"POLYGON((4.7951161 52.3839808,4.7953436 52.3835576,4.7956622 52.3830407,4.7962737 52.3826634,4.7964024 52.3826118,4.7969282 52.3826666,4.7971352 52.3827342,4.7974355 52.3831186,4.7974431 52.3835679,4.7973762 52.3839957,4.7951161 52.3839808))";"POLYGON((52.3839808 4.7951161,52.3835576 4.7953436,52.3830407 4.7956622,52.3826634 4.7962737,52.3826118 4.7964024,52.3826666 4.7969282,52.3827342 4.7971352,52.3831186 4.7974355,52.3835679 4.7974431,52.3839957 4.7973762,52.3839808 4.7951161))";4.7962796;52.38330375;
30;5271;"5271-6024";"POLYGON((4.8315617 52.3738927,4.8345969 52.3734154,4.8348649 52.3738616,4.8349338 52.3743113,4.834691 52.3745008,4.8339548 52.3746552,4.8332212 52.3746051,4.832489 52.3744399,4.8320837 52.374298,4.8317592 52.3740791,4.8315617 52.3738927))";"POLYGON((52.3738927 4.8315617,52.3734154 4.8345969,52.3738616 4.8348649,52.3743113 4.8349338,52.3745008 4.834691,52.3746552 4.8339548,52.3746051 4.8332212,52.3744399 4.832489,52.374298 4.8320837,52.3740791 4.8317592,52.3738927 4.8315617))";4.83324775;52.3740353;
31;5271;"5271-6024";"POLYGON((4.8321301 52.3728289,4.8325115 52.3726342,4.8332479 52.3724642,4.8339793 52.3726885,4.8343783 52.3731521,4.8323938 52.3734585,4.8321301 52.3728289))";"POLYGON((52.3728289 4.8321301,52.3726342 4.8325115,52.3724642 4.8332479,52.3726885 4.8339793,52.3731521 4.8343783,52.3734585 4.8323938,52.3728289 4.8321301))";4.8332542;52.37296135;
32;6776;"6776-7529";"POLYGON((4.8949806 52.3732555,4.8954226 52.3727797,4.8954563 52.3723305,4.8956596 52.3721182,4.8959964 52.3723327,4.895821 52.3727813,4.8960072 52.3732315,4.8963784 52.3735082,4.896506 52.373683,4.8971037 52.3743177,4.8972723 52.3745848,4.8972293 52.375034,4.8970946 52.3751504,4.8970058 52.3751611,4.8963594 52.3747147,4.8952223 52.3739813,4.8957822 52.373753,4.8949806 52.3732555))";"POLYGON((52.3732555 4.8949806,52.3727797 4.8954226,52.3723305 4.8954563,52.3721182 4.8956596,52.3723327 4.8959964,52.3727813 4.895821,52.3732315 4.8960072,52.3735082 4.8963784,52.373683 4.896506,52.3743177 4.8971037,52.3745848 4.8972723,52.375034 4.8972293,52.3751504 4.8970946,52.3751611 4.8970058,52.3747147 4.8963594,52.3739813 4.8952223,52.373753 4.8957822,52.3732555 4.8949806))";4.89612645;52.37363965;
33;7529;"7529-9035";"POLYGON((4.9227067 52.341662,4.9224091 52.3416578,4.9216773 52.3414783,4.9215948 52.3414286,4.921311 52.340978,4.9212666 52.3405285,4.9212912 52.3403577,4.9215326 52.3400098,4.9238453 52.3406524,4.9239302 52.3409884,4.9239125 52.3411019,4.9227067 52.341662))";"POLYGON((52.341662 4.9227067,52.3416578 4.9224091,52.3414783 4.9216773,52.3414286 4.9215948,52.340978 4.921311,52.3405285 4.9212666,52.3403577 4.9212912,52.3400098 4.9215326,52.3406524 4.9238453,52.3409884 4.9239302,52.3411019 4.9239125,52.341662 4.9227067))";4.9225984;52.3408359;
34;6776;"6776-7529";"POLYGON((4.9255372 52.3506381,4.9252493 52.3507713,4.9245153 52.3507819,4.9237843 52.3505176,4.9236438 52.3504243,4.9231354 52.3499729,4.9229024 52.3495226,4.9227007 52.3490445,4.9236823 52.3492408,4.9243623 52.3496035,4.924889 52.3502419,4.9255372 52.3506381))";"POLYGON((52.3506381 4.9255372,52.3507713 4.9252493,52.3507819 4.9245153,52.3505176 4.9237843,52.3504243 4.9236438,52.3499729 4.9231354,52.3495226 4.9229024,52.3490445 4.9227007,52.3492408 4.9236823,52.3496035 4.9243623,52.3502419 4.924889,52.3506381 4.9255372))";4.92411895;52.3499132;
35;6776;"6776-7529";"POLYGON((4.922763 52.3482668,4.9228331 52.3481741,4.9230755 52.3481191,4.9238098 52.3480628,4.9243229 52.3481257,4.9239374 52.348396,4.922763 52.3482668))";"POLYGON((52.3482668 4.922763,52.3481741 4.9228331,52.3481191 4.9230755,52.3480628 4.9238098,52.3481257 4.9243229,52.348396 4.9239374,52.3482668 4.922763))";4.92354295;52.3482294;
36;9035;"9035-11294";"POLYGON((4.8937022 52.3373695,4.8971907 52.3372503,4.8973056 52.3382115,4.8976842 52.3381948,4.8977227 52.3386362,4.897557 52.339085,4.897491 52.3391486,4.8967573 52.3391552,4.896027 52.3388595,4.8955639 52.3386273,4.8947938 52.3381748,4.8941599 52.3377228,4.8938416 52.3374604,4.8937022 52.3373695))";"POLYGON((52.3373695 4.8937022,52.3372503 4.8971907,52.3382115 4.8973056,52.3381948 4.8976842,52.3386362 4.8977227,52.339085 4.897557,52.3391486 4.897491,52.3391552 4.8967573,52.3388595 4.896027,52.3386273 4.8955639,52.3381748 4.8947938,52.3377228 4.8941599,52.3374604 4.8938416,52.3373695 4.8937022))";4.89571245;52.33820275;
37;7529;"7529-9035";"POLYGON((4.9685648 52.4073391,4.9677676 52.4075109,4.9674585 52.4078466,4.9673331 52.4081705,4.9649026 52.4084863,4.9647394 52.4084857,4.9641692 52.4083963,4.96354 52.4080698,4.963159 52.4073699,4.9629403 52.4067952,4.9657426 52.4059445,4.9652795 52.4053066,4.9658312 52.4052212,4.9663193 52.4053726,4.9667229 52.4058107,4.9661912 52.405971,4.9665725 52.406621,4.9679019 52.4062515,4.9685648 52.4073391))";"POLYGON((52.4073391 4.9685648,52.4075109 4.9677676,52.4078466 4.9674585,52.4081705 4.9673331,52.4084863 4.9649026,52.4084857 4.9647394,52.4083963 4.9641692,52.4080698 4.96354,52.4073699 4.963159,52.4067952 4.9629403,52.4059445 4.9657426,52.4053066 4.9652795,52.4052212 4.9658312,52.4053726 4.9663193,52.4058107 4.9667229,52.405971 4.9661912,52.406621 4.9665725,52.4062515 4.9679019,52.4073391 4.9685648))";4.96575255;52.40685375;
38;7529;"7529-9035";"POLYGON((4.9638631 52.4096143,4.9652484 52.4095796,4.9647584 52.4098955,4.9643126 52.4101569,4.964315 52.409894,4.9638631 52.4096143))";"POLYGON((52.4096143 4.9638631,52.4095796 4.9652484,52.4098955 4.9647584,52.4101569 4.9643126,52.409894 4.964315,52.4096143 4.9638631))";4.96455575;52.40986825;
39;4518;"4518-5271";"POLYGON((4.9680553 52.3249748,4.9679749 52.3249744,4.9687918 52.3246525,4.9695269 52.3244799,4.9702621 52.3242857,4.9709968 52.3241387,4.971643 52.3241455,4.9697998 52.3260908,4.9695104 52.3262437,4.9695137 52.3258787,4.9680553 52.3249748))";"POLYGON((52.3249748 4.9680553,52.3249744 4.9679749,52.3246525 4.9687918,52.3244799 4.9695269,52.3242857 4.9702621,52.3241387 4.9709968,52.3241455 4.971643,52.3260908 4.9697998,52.3262437 4.9695104,52.3258787 4.9695137,52.3249748 4.9680553))";4.96980895;52.3251912;
40;4518;"4518-5271";"POLYGON((4.9735621 52.3256415,4.9731617 52.3256345,4.9725363 52.3253906,4.9730606 52.3249419,4.9732343 52.3249232,4.9733209 52.3249933,4.9735581 52.3254435,4.9735621 52.3256415))";"POLYGON((52.3256415 4.9735621,52.3256345 4.9731617,52.3253906 4.9725363,52.3249419 4.9730606,52.3249232 4.9732343,52.3249933 4.9733209,52.3254435 4.9735581,52.3256415 4.9735621))";4.9730492;52.32528235;
41;6024;"6024-6776";"MULTIPOLYGON(((4.8928744 52.4095766,4.8930811 52.4092912,4.8931225 52.4086516,4.8937929 52.4082752,4.8945261 52.408148,4.8952607 52.4081607,4.8955241 52.4082811,4.8959888 52.408761,4.8963191 52.4091831,4.8967156 52.4094908,4.8969653 52.4096351,4.8974465 52.409858,4.8981781 52.4101483,4.8987792 52.4105414,4.8992085 52.4109925,4.8993716 52.4114425,4.8994856 52.4123418,4.8991963 52.41279,4.8988824 52.4129234,4.8981466 52.4130125,4.8975108 52.4129176,4.8955606 52.4113893,4.8952133 52.4114056,4.8948506 52.4116493,4.8943923 52.411422,4.8937385 52.4110379,4.8936287 52.4107886,4.8932427 52.4104713,4.8930171 52.4100682,4.8928744 52.4095766),(4.8974229 52.411983,4.897591 52.4118846,4.8976726 52.4114356,4.8974325 52.4111236,4.8972679 52.4109845,4.8959699 52.4104787,4.8952364 52.4103569,4.8950277 52.4105259,4.895188 52.410976,4.8958353 52.411428,4.8966892 52.4118873,4.8974229 52.411983)))";"MULTIPOLYGON(((52.4095766 4.8928744,52.4092912 4.8930811,52.4086516 4.8931225,52.4082752 4.8937929,52.408148 4.8945261,52.4081607 4.8952607,52.4082811 4.8955241,52.408761 4.8959888,52.4091831 4.8963191,52.4094908 4.8967156,52.4096351 4.8969653,52.409858 4.8974465,52.4101483 4.8981781,52.4105414 4.8987792,52.4109925 4.8992085,52.4114425 4.8993716,52.4123418 4.8994856,52.41279 4.8991963,52.4129234 4.8988824,52.4130125 4.8981466,52.4129176 4.8975108,52.4113893 4.8955606,52.4114056 4.8952133,52.4116493 4.8948506,52.411422 4.8943923,52.4110379 4.8937385,52.4107886 4.8936287,52.4104713 4.8932427,52.4100682 4.8930171,52.4095766 4.8928744),(52.411983 4.8974229,52.4118846 4.897591,52.4114356 4.8976726,52.4111236 4.8974325,52.4109845 4.8972679,52.4104787 4.8959699,52.4103569 4.8952364,52.4105259 4.8950277,52.410976 4.895188,52.411428 4.8958353,52.4118873 4.8966892,52.411983 4.8974229)))";4.89618;52.41058025;
42;7529;"7529-9035";"POLYGON((4.9997766 52.3479197,4.9992607 52.3479994,4.9986566 52.3481639,4.9986581 52.3479974,4.9986592 52.3478689,4.9994886 52.346158,5.0036833 52.3448852,5.0051925 52.344158,5.007581 52.3444062,5.0070371 52.3447979,5.0067571 52.344813,5.0060222 52.344951,5.0053434 52.3453227,5.004998 52.345771,5.0047292 52.3462431,4.9997766 52.3479197))";"POLYGON((52.3479197 4.9997766,52.3479994 4.9992607,52.3481639 4.9986566,52.3479974 4.9986581,52.3478689 4.9986592,52.346158 4.9994886,52.3448852 5.0036833,52.344158 5.0051925,52.3444062 5.007581,52.3447979 5.0070371,52.344813 5.0067571,52.344951 5.0060222,52.3453227 5.0053434,52.345771 5.004998,52.3462431 5.0047292,52.3479197 4.9997766))";5.0031188;52.34616095;
