OBJECTNUMMER;SELECTIE;LABEL;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
425;9035;"9035-11294";"POLYGON((4.891553 52.3743362,4.8911301 52.3740094,4.8910532 52.3738156,4.8911535 52.3736769,4.8914008 52.3736477,4.8919314 52.3736261,4.8916491 52.3741121,4.891553 52.3743362))";"POLYGON((52.3743362 4.891553,52.3740094 4.8911301,52.3738156 4.8910532,52.3736769 4.8911535,52.3736477 4.8914008,52.3736261 4.8919314,52.3741121 4.8916491,52.3743362 4.891553))";4.8914923;52.37398115;
426;9035;"9035-11294";"POLYGON((4.8927185 52.3480051,4.8914464 52.3480749,4.891362 52.3473498,4.8953254 52.3471568,4.89373 52.3475204,4.8934818 52.3476062,4.8929926 52.3478425,4.8927185 52.3480051))";"POLYGON((52.3480051 4.8927185,52.3480749 4.8914464,52.3473498 4.891362,52.3471568 4.8953254,52.3475204 4.89373,52.3476062 4.8934818,52.3478425 4.8929926,52.3480051 4.8927185))";4.8933437;52.34761585;
427;9035;"9035-11294";"POLYGON((4.8912097 52.3832473,4.8917403 52.3832334,4.8912414 52.3835074,4.8912097 52.3832473))";"POLYGON((52.3832473 4.8912097,52.3832334 4.8917403,52.3835074 4.8912414,52.3832473 4.8912097))";4.891475;52.3833704;
428;9035;"9035-11294";"POLYGON((4.892944 52.3860322,4.8921196 52.3878946,4.892001 52.3881075,4.8918004 52.3880937,4.8914797 52.3854617,4.8918381 52.3856273,4.892944 52.3860322))";"POLYGON((52.3860322 4.892944,52.3878946 4.8921196,52.3881075 4.892001,52.3880937 4.8918004,52.3854617 4.8914797,52.3856273 4.8918381,52.3860322 4.892944))";4.89221185;52.3867846;
429;9035;"9035-11294";"POLYGON((4.8988545 52.3621781,4.8982766 52.363686,4.8960369 52.363236,4.892474 52.3637203,4.891929 52.3622661,4.8960434 52.3616998,4.8988545 52.3621781))";"POLYGON((52.3621781 4.8988545,52.363686 4.8982766,52.363236 4.8960369,52.3637203 4.892474,52.3622661 4.891929,52.3616998 4.8960434,52.3621781 4.8988545))";4.89539175;52.36271005;
430;9035;"9035-11294";"POLYGON((4.8982212 52.3639256,4.897775 52.3650192,4.8958729 52.3646679,4.8929674 52.3650512,4.8925665 52.3639735,4.8959918 52.3634951,4.8982212 52.3639256))";"POLYGON((52.3639256 4.8982212,52.3650192 4.897775,52.3646679 4.8958729,52.3650512 4.8929674,52.3639735 4.8925665,52.3634951 4.8959918,52.3639256 4.8982212))";4.89539385;52.36427315;
431;9035;"9035-11294";"POLYGON((4.896736 52.3671118,4.8961324 52.3670542,4.8939389 52.3672072,4.8934364 52.3666801,4.8929968 52.3652652,4.8959024 52.3648689,4.8976879 52.3652262,4.897422 52.3659303,4.8958674 52.3657361,4.895777 52.3663015,4.8972626 52.3663524,4.8997313 52.3662199,4.9004183 52.36632,4.900193 52.3665913,4.9000564 52.3666381,4.8993914 52.3665629,4.898657 52.3665948,4.8979214 52.3667293,4.8972033 52.3669452,4.896736 52.3671118))";"POLYGON((52.3671118 4.896736,52.3670542 4.8961324,52.3672072 4.8939389,52.3666801 4.8934364,52.3652652 4.8929968,52.3648689 4.8959024,52.3652262 4.8976879,52.3659303 4.897422,52.3657361 4.8958674,52.3663015 4.895777,52.3663524 4.8972626,52.3662199 4.8997313,52.36632 4.9004183,52.3665913 4.900193,52.3666381 4.9000564,52.3665629 4.8993914,52.3665948 4.898657,52.3667293 4.8979214,52.3669452 4.8972033,52.3671118 4.896736))";4.89670755;52.36603805;
432;9035;"9035-11294";"POLYGON((4.9012324 52.364502,4.9006913 52.3655757,4.897923 52.3650393,4.8983371 52.363965,4.9012324 52.364502))";"POLYGON((52.364502 4.9012324,52.3655757 4.9006913,52.3650393 4.897923,52.363965 4.8983371,52.364502 4.9012324))";4.8995777;52.36477035;
433;9035;"9035-11294";"POLYGON((4.9021087 52.3627878,4.9013727 52.3642691,4.8984461 52.3636932,4.8990231 52.3622436,4.9021087 52.3627878))";"POLYGON((52.3627878 4.9021087,52.3642691 4.9013727,52.3636932 4.8984461,52.3622436 4.8990231,52.3627878 4.9021087))";4.9002774;52.36325635;
434;9035;"9035-11294";"POLYGON((4.9005791 52.365779,4.9003696 52.3662191,4.8988372 52.3659769,4.8987123 52.3658625,4.8988892 52.3654768,4.9005791 52.365779))";"POLYGON((52.365779 4.9005791,52.3662191 4.9003696,52.3659769 4.8988372,52.3658625 4.8987123,52.3654768 4.8988892,52.365779 4.9005791))";4.8996457;52.36584795;
